text	sentiment
RT @thehill: Justice Department cites 18th century federal law to get Apple to unlock iPhones: http://t.co/Eth0QpAIom	0
@thehill Apple Furthermore there are no provisions for secrecy in the constitution as such such activities are sedition by the US gov.	0
Apple:Here's why Apple dropped...http://t.co/qVpNCJv1pb	1
This one chart explains @tim_cook's affect on Apple. Paints an interesting story. What do you think? http://t.co/7cBY6jL5Pn	0
RT @thehill: Justice Department cites 18th century federal law to get Apple to unlock iPhones: http://t.co/Eth0QpAIom	0
RT @thehill: Justice Department cites 18th century federal law to get Apple to unlock iPhones: http://t.co/Eth0QpAIom	0
"Final Apple PutCallRatios for Monday, December 1, 2014 http://t.co/EVJC0tNGPJ"	0
Apple Launches Red Apple Logo for World AIDS Day: Dec. 1 is World AIDS Day and the red Apple logo will be abl... http://t.co/crc6VpIELd	0
hey Apple fuck you	1
5 Companies Growing Faster Than Apple Inc. http://t.co/PgCG4CkJK9 Apple	0
Apple why doesn't your people explain precautions when buying an expensive laptop	1
RT @thehill: Justice Department cites 18th century federal law to get Apple to unlock iPhones: http://t.co/Eth0QpAIom	0
@Quailman_ Apple u was bored huh	0
RT @wagner_tim: @robconeybeer: You need an IP portfolio to defend against big companies - just look at @Samsung Apple court battles	0
"As a die hard Apple customer, I must say I am truly displeased with the customer service I was given today. badservice Apple"	1
Apple made it clear today that I as a customer are not worth a measly $79!! An employee gave mis info and they will not stand behind it	1
INSPI(RED) by Apple and @tim_cook on WorldAIDSDAY. 100% of AppsforRED in @AppStore go to fight AIDs. Get @Farmville2 and @CSRRacing @RED	0
RT @thehill: Justice Department cites 18th century federal law to get Apple to unlock iPhones: http://t.co/Eth0QpAIom	0
16GB Apple iPad Air 2 Retina WiFi Tablet $400 + Free Shipping via EBAY http://t.co/TrkYuoYew7 CyberMonday firstworldproblems	0
Photo: Love IOS 8 Apple @iphone Love IOS8 NoCrop iphone young phone screen capturescream boy... http://t.co/fIDj9FxHDV	1
Why does Apple force people to use its VPN built in to iOS8? Off button doesn't work FFS. Like I want Apple's NSA data collection service.	1
Then how the hell did I take this screenshot? Apple @timcook http://t.co/NvFWwi4JsM	1
RT @thehill Department cites 18th century federal law to get Apple to unlock iPhones: http://t.co/WY4zI6XQtF	0
RT @thehill: Justice Department cites 18th century federal law to get Apple to unlock iPhones: http://t.co/Eth0QpAIom	0
Buy round lot on the open MT @WSJD Apple stock briefly dove 6.4% today. Analysts not sure why http://t.co/F6e73eJUJE http://t.co/2qQvMWOotv	1
3G is draining my battery fix this Apple	1
My daughter's Apple iPod stolen. To the thief: try working as hard to earn one - like my daughter had to buy hers. LosingFaithInPeople	0
Apple your chargers suck ass! They just love to break!	1
RT @thehill: Justice Department cites 18th century federal law to get Apple to unlock iPhones: http://t.co/Eth0QpAIom	0
"Apple:My Three Horsemen Of The NASDAQ 100:  Apple, Microsoft And Gilead Scie...http://t.co/cDvoZfGSBX"	0
RT @thehill: Justice Department cites 18th century federal law to get Apple to unlock iPhones: http://t.co/Eth0QpAIom	0
I'm hoping Apple won't automatically make us download Bruce Springsteen and U2 singing together.  u2 bruce espn thatwasbad	1
@thehill Apple What a joke! Justice Dept should prosecute Killer Wilson in pursuit of JUSTICE. Ferguson IS NOT OVER!	1
@aydlettgwyn13 Apple please educate us	0
RT @TinfoilTricorn: @thehill Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure	1
The game traders play in the name of market liquidity HFT darkpools stock trading algorithms Apple  http://t.co/laKjpr89S8	0
Apple:10 Steve Jobs emails you need to read...http://t.co/82G1kL94tx	0
So so sooooo annoyed. Did the restore from my back up and lost my voice mails. I needed to keep those. Thanks a lot Apple	1
ThisnYosemite update is stressing me out Apple macbookpro	1
Just broke my 3rd charger of the month. Get your shit together Apple	1
"This iPhone 6 battery isn't as good as you claim, Apple"	1
Nasdaq big fall. @FB @Baba @Twtr @Linkd Apple fell 3-6% on Monday! See whether follow up ..	1
"iPhone users face big change over Apple [Apple]'s Google search choice. (Monday, 1 December) http://t.co/fA3KKjQQdA"	0
RT @chanchan1717: @aydlettgwyn13 Apple please educate us	0
"Just updated my ram to 16gb. Apple you guys are like shallow gf's. Take all the money, but dammit you look good."	1
Apple @iphone4 oh it's not fair and i think you're really mean	1
whoknew Why isn't Apple on Twitter? http://t.co/HmsbwjEL1K interestingfact passingthetime	0
RT @JodiSpicer: whoknew Why isn't Apple on Twitter? http://t.co/HmsbwjEL1K interestingfact passingthetime	0
IBM: Apple iOS users account for 21.6% of ALL online sales. 3x @android users (6.6%). They are dominating. business sales cybermonday	1
I HATE HOW IOS 8 CAPITALIZES RANDOM WORDS LIKE I DONT WANNA GIVE EMPHASIS TO SOME STUPID WORD IN THA SENTENCE GET UR SELF TOGETHER Apple	1
@gr8american23 i've made clear i support rand paul in 2016 in most cases. why is everyone pigeonholed as red or blue? also u like Apple?	0
Apple why was the iphone 4 ever created	1
Apple I FUCKING HATE YOU http://t.co/xRxXK0rdot	1
Apple please can I have new phone for Christmas? spreadsomejoy	1
Perfome Apple pie.. http://t.co/eHsgVdej9N	0
Nasdaq100 recent market exit 4: Sold $AAPL long for a 10.49% gain in 20 days. Apple forex trading stocks	0
.Apple rumoured to be launching a 'Mega Tab' because biggerisbetter http://t.co/UreeAozPaI	0
RT  Chayton Falke ChaytonFalke :Nasdaq100 recent market exit 4: Sold $AAPL long for a 10.49% gain in 20 days. Apple forex trading...	0
"Apple Inc. PT Upped By Barclays, Morgan Stanley Trims Stake http://t.co/jgysEmQXBl Apple"	0
IT'S NOT LIKE THE APP COSTS MONEY JUST LET ME DOWNLOAD IT Apple	1
"RT @HamzeiAnalytics: New HA Blog Post &gt;&gt;&gt; Final Apple PutCallRatios for Monday, December 1, 2014:  http://t.co/FO160NRHfF"	0
Apple:Jim Cramer's 4 Best Stock Picks for the Health Care Sector...http://t.co/CaQgzX0KiJ	0
My phones been charging for an hour but it keeps losing percentage?? Get ur shit together Apple	1
"Steve Jobs, clave en juicio contra Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn"	0
"RT @elnuevoherald: Steve Jobs, clave en juicio contra Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn"	0
"RT @elnuevoherald: Steve Jobs, clave en juicio contra Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn"	0
"Myths vs. Reality in Full-Time Trading http://t.co/JH7BMS1Kgb stocks
futures forex trader es nq cl Apple gpro finance eSignal"	0
My laptop was completely dead and blacked out for 2 days &amp; I finally opened the inside and fixed it. Hire me Apple	0
@baseballbridget Apple we couldn't even get a turkey for TDay so they just don't care... Appleemojissuck	1
"RT @elnuevoherald: Steve Jobs, clave en juicio contra Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn"	0
RT @toricolelli: My phones been charging for an hour but it keeps losing percentage?? Get ur shit together Apple	1
"Apple (NASDAQ: Apple) Participates in World Aids Day Campaign: http://t.co/YytgUGXQNB: Apple, Apple, Campaign... http://t.co/XT3Z1sx0P4"	0
Well played Apple http://t.co/mGbsxyiA69	1
Thank you Apple	1
Fix it Apple http://t.co/cHoq6LHeHo	1
RT @_iamGambino: Thank you Apple	1
How long does it really take for a phone to ship Apple smh	1
Apple iPod lawsuit will reveal unseen Steve Jobs video http://t.co/nEF5qOGbHE	0
RT @smartoutsource1: Apple iPod lawsuit will reveal unseen Steve Jobs video http://t.co/nEF5qOGbHE	0
Lol dying Apple http://t.co/EP8hQb2O2H	0
GoPro: What Competition? Part 2 GPRO  Apple SNE http://t.co/4tgYDYdprt	0
"So, on my iphone5, the Apple health kit is no longer gathering data.  Sigh."	1
"Trade $AAPL FREE Nightly Updates are posted here on Twitter, or you can visit the Trade Apple FREE website here http://t.co/U4TKeApbxF"	0
Thanks Apple for changing yet another fuck into duck...Thanks.	1
Apple YH News Apple tumbles as much as 6 percent in unusual trading: By Chuck Mikolajczak NEW YORK (Reuters) ...  http://t.co/hNuWafq0sI	1
@brwnskin_beauti cause fuck Apple	1
RT @donacamp: Brass band at Apple Store Broadway WintersEve NYC http://t.co/ufworZjgpP	0
if i buy a 16 gb phone i should have 16 GB'S TO USE Apple	1
fuck you for BREAKING MY MUSIC Apple	1
RT @donacamp: Brass band at Apple Store Broadway WintersEve NYC http://t.co/ufworZjgpP	0
"Have Apple, Inc.'s iPad Sales Peaked? Apple http://t.co/2Wpaib3z9M"	0
RT @donacamp: Brass band at Apple Store Broadway WintersEve NYC http://t.co/ufworZjgpP	0
Barclay's Apple Analyst Joins The Crowd And Increases Price Target - Forbes Apple http://t.co/6Z1DwxeCpE	0
just need Apple to come out with a charger cord that keep a charge &amp; don't fall apart http://t.co/VZ8HDbMzlu	1
RT @AMANDAZUCKERMAN: You should be able to forward a voicemail. Why isn't that a thing? Apple	1
Apple and @facebook I speak for all of humanity; We want to chose what contacts are added to our contacts book from facebook thanks	1
Apple I h8 everything about u	1
Apple ur a disgrace	1
Apple I want my pictures back	0
My phone is on acid right now Apple fix this	1
Apple I had a power cord problem- under warranty. You said it would be fine. It isn't. And now you won't replace it? http://t.co/fW3BoW53dj	1
Apple This was NORMAL use-- NO ABUSE! Wrapped it exactly as you instructed me to. This is a fire hazard. You should replace it. defective	1
"Apple BTW, I LOVE all of your products.  They rock!  Your power cords are junk.  You seriously need to fix this!"	1
RT @donacamp: Brass band at Apple Store Broadway WintersEve NYC http://t.co/ufworZjgpP	0
RT @thehill: Justice Department cites 18th century federal law to get Apple to unlock iPhones: http://t.co/Eth0QpAIom	1
Yo Apple fix your shitty iMessage	1
Apple RT @AboveAvalon Apple's Share Repurchases Have Benefited Shareholders by $80 Billion  http://t.co/XHkqFr7whT	1
"Even With Apple Watch Delayed, I'm Raising My AAPL Price Target To $165 - http://t.co/TGENjFl3zI Apple Alex_Cho"	1
I love @AIRMILES! Between @chaptersindigo &amp; Apple I earned ~200 miles during the BlackFriday sale! freemoney centsability cybermonday	1
Yo! Apple this auto correct shit gotta stop!!! changing my shit right when i send it	1
First Apple logo was designed by co-founder Ronald Wayne. Drawing of Isaac Newton reading a book under an apple tree	0
Those** PICK UP THE SLACK YOU FUCK BOYS Apple	1
Why is it that the no firm has acquired the bloomberg terminal service yet  Apple? I wish it had a goog search function.	0
@surface maybe good product but never better then Apple MacBook Air .... It's a fact	1
fucking faggots Apple	1
Apple of course that's not their mother fucking @	1
Apple Inc. Store Logos Turn Red For World AIDS Day http://t.co/nsBtAl4g75 Apple	0
the fuck kinda gay shit you print in the fucking ketosis Apple	1
Game*** Apple you bitches really trying me tonight! RT @DreMacsAMillion: @WhoSFlyy__ gams night gawd	1
Apple CEO Tim Cook comes out as gay Apple   http://t.co/euFQQpMjj6  Via @posh360_Net	0
RT @bella_bong_: Apple U need to get ur fucking shit together and let me txt while on YouTube	1
Apple @Disney Why can't I buy any version let alone the version I actually like of Star Wars on @iTunesMovies stupid lame StarWars	1
Apple @tim_cook Perhaps a less malleable metal for the shell of the iPhone6SPlus. noticedsomecurve	0
MacBook Pro 13   Non-retina First Startup: http://t.co/9l6RK2OLq2 via @youtube Apple macbook macbookpro startup hipster	0
MacBook Pro 13in Unboxing: http://t.co/F3IM9YbpxF via @youtube Apple macbook macbookpro startup hipster unboxing	0
iPad Mini Unboxing!: http://t.co/GnLy8W75nA via @youtube Apple ipadmini ipad macbook macbookpro startup hipster unboxing	0
iPad Mini First Time Startup!: http://t.co/vGHN798zzs via @youtube Apple ipadmini ipad macbook macbookpro startup hipster unbox	0
Apple where the iPod 6 at doe?	0
"Can Apple drop Audio Only rendition requirement for iOS apps? 
Users hate it 
No other stores want it
Other platforms don't know what it is"	1
"None too happy with Apple Mac OS X (Yosemite), File Vault 2, or Boot Camp right now. Thankful to own a @lenovo."	1
"iPhone6S to emerge spring 2015 with Apple [Apple] Watch?. (Tuesday, 2 December) http://t.co/NnGLuvYW6M"	0
All my Apps on Apple ipodtouch5thgen http://t.co/cRhwdbSxSx http://t.co/UNpPU4zrRq	0
I demand there be a tapatio emoji Apple	1
My apps Apple ipodtouch5thgen http://t.co/ttEzGarBXd http://t.co/8bUawltG4i	0
"Apple:
Call America for free until Christmas: Tesco cuts costs for relaunch...
http://t.co/ujvbkQVfqj"	0
so for the second time Apple pages ate my edits. 700bn? amateurs fail iwantjobsback	1
feel so lost with out my phone :(  Apple iPhone 5 chargers are horrendous! brokenchargerprobs	1
Apple:Apple heads to trial over digital music claims...http://t.co/vOpYSuiVKi	0
Excellent news HouseOfCards S3 on @netflix 27/2! I wonder if Yosemite &amp; my wifi will be talking by then Apple @tim_cook ? It's been wks!!	1
Apple my laptop is burning my legs what do u have to say about this	1
@benh4ll @netflix Apple @tim_cook Great news! hope your wifi gets sorted though!	1
The Secret of Life from Steve Jobs in 46 Seconds. Some motivation from the late CEO of Apple http://t.co/7UOYKec9YN	0
10 best SteveJobs Apple Apple tech30 http://t.co/FkrkG1iF7g via	0
@HammerArcade This makes me feel so sad ;-; WHY DO U HAVE TO BE SO ROOD Apple	1
I hate these Apple earphones so bad. Why in the world did they think it was a good idea to p http://t.co/X7lIGAQeG5 http://t.co/ihR2OGZa6s	1
@QuentinNield Apple I need to reinstall on my Apple iPad 2	0
"Apple, I salut you! @kcdenton's photo http://t.co/nmwlvZVjHS"	1
MacBook Pro 13   Non-retina First Startup: http://t.co/9l6RK2OLq2 via @youtube Apple macbook macbookpro startup hipster	0
MacBook Pro 13in Unboxing: http://t.co/F3IM9YbpxF via @youtube Apple macbook macbookpro startup hipster unboxing	0
iPad Mini Unboxing!: http://t.co/GnLy8W75nA via @youtube Apple ipadmini ipad macbook macbookpro startup hipster unboxing	0
iPad Mini First Time Startup!: http://t.co/vGHN798zzs via @youtube Apple ipadmini ipad macbook macbookpro startup hipster unbox	0
"Smartphone/tablet to become home automation hub, how can any wireless protocol beat WiFi and Bluetooth Apple Homekit @ShortcutLabs flic"	0
Options Outlook Amid Heavy Week Of Economic Events http://t.co/J7hj76F2sG Apple GOOG GOOGL TSLA WMT PreMarket Markets	0
Why you dying so fast phone? Fuck you Apple	1
@remuuusss Apple fix this	1
"It's been said 'don't talk about politics', But I can't take it anymr. I'll still post about @cisco, Apple and others. But we need change."	0
"holy shit what have I missed what did Obama do this time 
stocks NASDAQ NYSE Apple DOWJ http://t.co/ZMKp6xyJk4"	0
Does anybody knows how to use å£ on a Macbook Pro Retina US keyboard? Thank you so much! Apple macbook pro Apple keyboard	0
The best guest behind Apple's rapid stock price decline yesterday is algorithmic trading. $40bn wiped off by automatic computer trades Apple	0
Apple awarded patent 4 augmented reality devices w transparent displays - http://t.co/uwfnVajgU7 http://t.co/yuhQsR8lOb	0
Apple Apple iphone @iphone iphone4s iphone4problems  SOMEONE FUCKING HELP ME SOMEONE WHO WORKS AT APPLE FUCKING HELP ME DO UR JOB CUNTS	1
"WTF Apple, synching notes or iCloud pages is unusable. It used to be easier."	1
Nasdaq100 recent market exit 4: Sold $AAPL long for a 10.49% gain in 20 days. Apple forex trading stocks	0
hey Apple fuck you just let me change stores	1
about to write a huge fuck you to Apple for not letting me make reservations to get my laptop fixed	1
"Apple tumbles as much as 6 percent in unusual trading $AAPL Apple
http://t.co/0wtDVpBm4u"	1
"@angusdick yes, had that exact issue. Took it to Apple for a free battery replacement. Trackpad ended up being fine."	0
@JimCramer Says 'Machines' Caused Apple's Big Drop $AAPL  http://t.co/pfzq1N52hH	1
@maxscottslade Apple yeah the trackpad is fine and working now! but I had to damage one of the screw holdings to get the battery out	1
"Video Shows Size of 12.2-Inch 'iPad Air Plus' Mockup Next to iPhones, iPads, and MacBook http://t.co/B3V5X45stZ Apple"	0
"RT @elnuevoherald: Steve Jobs, clave en juicio contra Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn"	0
Apple fail - Since updating my ipad OS there is a bug that does not delete videos and free up memory forcing... http://t.co/AjdDTF19Nn	1
"Apple Opening New Retail Store in Toledo, Ohio Saturday, December 6 [Mac Blog] http://t.co/ynkgEl9JSL Apple"	0
"Why Morgan Stanley Is Negative On Apple And The Tech Sector $AAPL Apple
http://t.co/wARhEy9ueH"	0
"Google Is Now Beating Apple In This One Key Sector $AAPL Apple
http://t.co/WvcXxxXlds"	0
"BBC News - Evidence by late Steve Jobs to be used in music trial
Apple
http://t.co/I6DXPPUWJy"	0
my alarm was set the ringer was on and it just refused to work fuck u Apple	1
@twitter @facebook @AlibabaTalk @google Apple n more in race to win payments? What's future of payments start-ups? @microsave @FinTechHub	0
"I'm lost because it's deer season, but there is no deer emoji. Come on Apple, how am I suppose to show the love to all my huntin' friendz?"	1
@NeimanMarcus utilizing iBeacons for engagement to send messages to Apple Passbook personalization http://t.co/CVNq0lUhNO via @pymnts	0
Technology News: Apple trial to feature unseen late SteveJobs video deposition http://t.co/YVyoTpdMZP	0
Apple I figured out memory issue on my ipad. It wasnt a bug but a new hidden folder that stores our  images... http://t.co/vEKIE3qlDp	1
We will be in room 1215 at 3:15 today presenting on our experience with Apple DEP and @JAMFSoftware   herewegolakers	0
Apple:Pacific Crest's Apple Analyst Reiterates Selling Some Shares...http://t.co/zj974XddLN	0
"Pacific Crest's Apple Analyst Reiterates Selling Some Shares $AAPL Apple
http://t.co/WMosfzhzZi"	0
"AppleLawSuit Depends on exactly what Apple did to hold back/beat their competition. There are fair game competitive tactics &amp; unfair 1s
YK"	1
"Apple:
Audio: Auto sales due; Apple lawsuit heads to court...http://t.co/Kvb1L61oLN"	0
Apple's PT raised by Canaccord Genuity to $135.00. buy rating. http://t.co/Nh2vs5lzoE $AAPL Apple	0
Apple's PT raised by Canaccord Genuity to $135.00. buy rating. http://t.co/Tb5dmDEjeA $AAPL Apple	0
"IPhone6 has too many issues,  why tf is the earphone plug in not working Apple u better fix this shit for free."	1
"Cheap Chromebooks teach Apple a lesson: Price matters $AAPL Apple
http://t.co/GUC5yr4cMf"	0
"@mcmillanstu @D1PZ... But trying to get launch info ahead of time from telco marketing teams was a nightmare - thanks Apple!
EcomChat"	1
Benzinga's Top PreMarket Losers http://t.co/vfUSrHxQX0 Apple GOLD NEM News NVAX PreMarket Markets	0
Dear Apple replace my phone my battery sucks	1
Apple heads to trial over iTunes update Apple http://t.co/BevWxGyCVk	0
From beyond the grave! RT @GMA: Jurors set 2 hear fr star witness at Apple trial: Steve Jobs. http://t.co/kehRY5VYAS http://t.co/KgvFdBtF7S	0
.Apple heads to trial over digital music claims $APPL tech	0
"Fantastic service today Apple store Touchwood - thanks to all, &amp; esp Zach for sorting my battery problem so quickly &amp; efficiently."	1
"Here's why Apple dropped $AAPL Apple
http://t.co/QOa336kFYs"	0
"APPLE Intraday Comments - Pre-Opening - PREMIUM USERS  Apple Stockaction trading Stocks MKt
http://t.co/G0TeDLCB9z"	0
@losskitty Apple its always like that with new products from apple	0
RT @laurrynk: Dear Apple replace my phone my battery sucks	1
"@ThisDueeMarco Apple thats annoying, they never get stuff right the first time."	1
@jimcramer What is going on with Apple....	0
"Apple Lower as Analyst Sees Risk of Sharp Production Cuts for iPhone 6 Plus in Q1 $AAPL Apple
http://t.co/SqEtCeOJPQ"	0
"RT @JPDesloges: Apple Lower as Analyst Sees Risk of Sharp Production Cuts for iPhone 6 Plus in Q1 $AAPL Apple
http://t.co/SqEtCeOJPQ"	0
RT @laurrynk: Dear Apple replace my phone my battery sucks	1
TheStreet:  Apple Gets Price Target Boost on Back of Strong iPhone Demand Apple http://t.co/f2qTGIBDDq	1
Apple MT @FortuneMagazine Can Apple clear name in ebooks drama? Eddy Cue says he'd do it again- but take better notes http://t.co/xCYyyJtK05	0
Apple with now dual core technology http://t.co/sq1VoVV5tf	1
Pacific Crest's Apple Analyst Reiterates Selling Some Shares - Forbes Apple http://t.co/4WRGdhxi0G	0
Every student deserves a chance Apple connected txed	0
I'm surprised there isn't more talk about what looked like a flash crash in Apple yesterday. Biggest range in years and largely ignored	1
I'm surprised there isn't more talk about what looked like a flash crash in Apple yesterday. Biggest range in years and largely ignored	1
A lack of equal access to technology places students and minorities at a disadvantage.  Education is the great equalizer Apple txed	0
@JustinPulitzer Looking for $105-$109... Apple	0
RT @RatingsNetwork: Apple's PT raised by Canaccord Genuity to $135.00. buy rating. http://t.co/Nh2vs5lzoE $AAPL Apple	0
"APPLE - Fibonacci Technicals Levels - Intraday - Pre-Opening $AAPL Apple 
http://t.co/lFF61YGu4B"	0
"Realmac Software Launches 'Typed', a Markdown Writing App Featuring a Minimal Interface [Mac Blog] http://t.co/3Hq47gIlE6 Apple"	0
@MazeOnPace Apple Product Line competes with itself. iPhone6+ vs. iPad. Who needs an iPad any longer!?	0
Apple:'Fast Money' Recap: Energy Companies Ebb and Flow With Oil Prices...http://t.co/qRwLlGcLk6	0
Enjoying the introductions at the Apple connected launch event.  Some amazing edtech leaders in the room.  txed	1
"Got A New Phone. Apple 
Iphone6Plus http://t.co/VRrOnfpUkG"	1
3 More AppleWatch Details Exposed Apple http://t.co/PEvFaMKC8O	0
Apple $AAPL daily....wedge... http://t.co/RSkkgmJshZ	0
U.S. Government Attempts 'Hail Mary' to Get Apple To Unlock iPhones Apple http://t.co/EzUsCC5ZgI	0
"APPLE - Fibonacci Technicals Levels - Intraday  Update - $AAPL Apple 
http://t.co/PEN0LjAJIR"	0
CNBC will make you poor  CL just got slammed like Apple yesterday.yesterday. Pisini  Please put on your clown shoes when you report	0
Here's Why Apple Won't Be A Trillion Dollar Company According To Billionaire VC Jim Breyer Apple http://t.co/2TQVM5v4yB	1
Chromebooks Overtake Apple's iPads in U.S. Education Market http://t.co/iR8WRGXO2x Apple @googlechrome chromebooks ipad	1
Apple Inc. is doomed. $AAPL dropped by 1.54%! Currently priced at 113.3. http://t.co/K6PKMj3Sbf Apple	1
Imagine a world without cracked iPhone screens! Apple Patents Drop Protection Mechanism http://t.co/cOorkE2pbx http://t.co/D9qtmhDMmR	0
.Apple HealthKit first movers featured at @mHealthsummit | Mobiquity's own @snyder4g also panelist @mhealth14 http://t.co/mrLT6wCnPE	0
Apple:How to Remove Apple Pay Credit Cards Remotely From http://t.co/JPD3HwdeeE...http://t.co/7XGBbp7cjW	0
.Apple wants you to stop taking vertical photos: http://t.co/Aw5nUQmzZk via @OutsideMagazine	1
10 best Steve Jobs emails Apple stevejobs Apple http://t.co/7PJHEvkUbh	0
"Apple Is Reportedly Planning A 12-Inch iPad That Will Be Like Microsoft's Surface $AAPL Apple
http://t.co/ahKJeeKqdi"	0
"Apple [Apple] Patents An iPhone Drop Protection Mechanism That Changes Device .... (Tuesday, 2 December) http://t.co/WvSAiPpSW5"	0
Props for Apple iTC App Review Team for reviewing metadata rejected resubmission in just 2 hours! Thanks!	1
Apple bears get paid as put contracts double amid drop http://t.co/KdnL4Uc3Yz News Apple Applebears Appleoptions Apple iPhone News	0
Apple yall some hoes	1
